state_count,selected_policy,cost_CNY,carbon_tCO2,renewable_utilization,peak_net_grid_purchase_MW,peak_grid_purchase_MW,net_grid_ramp_MW,ramp_MW,runtime_seconds,internal_throughput_MWh,equivalent_full_cycles_sum,max_constraint_residual,official_configuration,interpretation,cost_CNY_relative_error_vs_31,carbon_tCO2_relative_error_vs_31,renewable_utilization_relative_error_vs_31,peak_net_grid_purchase_MW_relative_error_vs_31,net_grid_ramp_MW_relative_error_vs_31,equivalent_full_cycles_sum_relative_error_vs_31
15,balanced,-452884324.14978987,0.0,0.6925783356748054,0.0,0.0,27211.42942736918,27211.42942736918,2.082685599991237,128453.28571428571,84.60414246999613,5.684341886080802e-14,False,理想设备情景；EFC按可用SOC区间；题面未给退化成本和循环上限,0.006718366957100744,0.0,0.001269098428008042,0.0,0.8539432172576099,0.17551582019636786
21,balanced,-454174024.61707526,0.0,0.6931311766649338,0.0,0.0,22150.241246509893,22150.241246509893,2.1904348000098253,140434.8,92.40108401084011,5.684341886080802e-14,True,理想设备情景；EFC按可用SOC区间；题面未给退化成本和循环上限,0.0038897510877253915,0.0,0.0007162574378796194,0.0,0.509119159991037,0.0995330755741481
31,balanced,-455947547.0842921,0.0,0.6938474341028135,0.0,0.0,14677.595933936356,14677.595933936356,2.2200192000018433,155992.8,102.61463414634147,5.684341886080802e-14,False,理想设备情景；EFC按可用SOC区间；题面未给退化成本和循环上限,0.0,0.0,0.0,0.0,0.0,0.0
