Region,TaskType,CandidateID,CandidateRank,CandidateModel,HuberEpsilon,HuberAlpha,WindowCount,MeanRMSE,MeanMAE,MeanWAPE,StdRMSE,WindowRankMin,WindowRankMax,WindowRankStd,WindowWinnerCount,FinalTestUsedForSelection
RegionA,AITraining,"Huber(epsilon=1.75,alpha=0.001)",9,Huber,1.75,0.001,8,50.17352029248511,35.056748831367905,1.3615798427789785,14.960900483258447,2,2,0.0,0,False
RegionA,AITraining,"Huber(epsilon=1.75,alpha=0.01)",10,Huber,1.75,0.01,8,50.17346367977557,35.05659393181028,1.361568967985064,14.96085715623597,1,3,0.9682458365518543,5,False
RegionB,RealTimeInference,SeasonalNaive24,0,SeasonalNaive24,,,8,8.318713591859783,6.697916666666666,0.8680061694137908,1.2938331332159145,10,11,0.4841229182759271,0,False
RegionB,RealTimeInference,SeasonalNaive168,1,SeasonalNaive168,,,8,8.495024861314402,6.828125,0.9019926045597937,1.0338895519591205,10,11,0.4841229182759271,0,False
RegionB,RealTimeInference,"Huber(epsilon=1.10,alpha=0.0001)",2,Huber,1.1,0.0001,8,6.06550959591762,4.8690400870086705,0.6306534591158218,1.1641826547346275,1,9,3.082207001484488,1,False
RegionB,RealTimeInference,"Huber(epsilon=1.10,alpha=0.001)",3,Huber,1.1,0.001,8,6.065499467238213,4.869024165997179,0.6306508256693072,1.1641937862446583,1,9,3.344772040064913,3,False
RegionB,RealTimeInference,"Huber(epsilon=1.10,alpha=0.01)",4,Huber,1.1,0.01,8,6.065518201477294,4.86903084365889,0.6306521999819286,1.1641841715024221,2,9,2.8613807855648994,0,False
RegionB,RealTimeInference,"Huber(epsilon=1.35,alpha=0.0001)",5,Huber,1.35,0.0001,8,6.04949413786412,4.879154524918457,0.6333408133376247,1.1203632415572247,4,6,0.9682458365518543,0,False
RegionB,RealTimeInference,"Huber(epsilon=1.35,alpha=0.001)",6,Huber,1.35,0.001,8,6.0494932760726075,4.8791538666011585,0.6333407364982448,1.1203639103445684,4,5,0.33071891388307384,0,False
RegionB,RealTimeInference,"Huber(epsilon=1.35,alpha=0.01)",7,Huber,1.35,0.01,8,6.0496067511591,4.8790869485300385,0.6333334977765004,1.1204579442381917,4,6,0.8569568250501305,0,False
RegionB,RealTimeInference,"Huber(epsilon=1.75,alpha=0.0001)",8,Huber,1.75,0.0001,8,6.041173439304925,4.903647361222479,0.6384990023479441,1.0514282623954023,1,9,3.122498999199199,1,False
RegionB,RealTimeInference,"Huber(epsilon=1.75,alpha=0.001)",9,Huber,1.75,0.001,8,6.041163928183411,4.9036351605290545,0.6384967933004485,1.0514334705757158,1,8,3.0413812651491097,1,False
RegionB,RealTimeInference,"Huber(epsilon=1.75,alpha=0.01)",10,Huber,1.75,0.01,8,6.041171815266664,4.903627193662268,0.6384957391670406,1.0514596530970082,1,9,3.1622776601683795,2,False
RegionB,BatchInference,SeasonalNaive24,0,SeasonalNaive24,,,8,22.204505129635315,17.708333333333336,0.993599778021994,2.170242370796146,10,11,0.5,0,False
RegionB,BatchInference,SeasonalNaive168,1,SeasonalNaive168,,,8,21.28286441363916,16.380208333333332,0.913327940315223,3.2776222098728582,4,11,2.222048604328897,0,False
RegionB,BatchInference,"Huber(epsilon=1.10,alpha=0.0001)",2,Huber,1.1,0.0001,8,15.64060901212153,12.510199430570877,0.7006187017887833,2.1062994538284854,2,9,2.5,0,False
RegionB,BatchInference,"Huber(epsilon=1.10,alpha=0.001)",3,Huber,1.1,0.001,8,15.640654018605485,12.510412177312471,0.7006319636364664,2.1061245739643746,2,10,2.912795049432761,0,False
RegionB,BatchInference,"Huber(epsilon=1.10,alpha=0.01)",4,Huber,1.1,0.01,8,15.64034128928542,12.510142762470748,0.7006173451565844,2.106274112033612,1,9,3.082207001484488,3,False
RegionB,BatchInference,"Huber(epsilon=1.35,alpha=0.0001)",5,Huber,1.35,0.0001,8,15.648654630711007,12.533865693695182,0.702259561228497,2.0778367856751117,1,8,1.8708286933869707,1,False
RegionB,BatchInference,"Huber(epsilon=1.35,alpha=0.001)",6,Huber,1.35,0.001,8,15.648675618055375,12.5338646298284,0.7022595494679768,2.0778337024850657,2,7,1.4523687548277813,0,False
RegionB,BatchInference,"Huber(epsilon=1.35,alpha=0.01)",7,Huber,1.35,0.01,8,15.648671910588982,12.533879547518517,0.7022606681455721,2.077841601183136,3,9,1.6393596310755,0,False
RegionB,BatchInference,"Huber(epsilon=1.75,alpha=0.0001)",8,Huber,1.75,0.0001,8,15.553807225300439,12.595573948885454,0.7075001432247381,2.028598703614723,1,7,2.598076211353316,2,False
RegionB,BatchInference,"Huber(epsilon=1.75,alpha=0.001)",9,Huber,1.75,0.001,8,15.553812247903878,12.595566002447015,0.7074997544746611,2.0285973689153134,2,8,3.0,0,False
RegionB,BatchInference,"Huber(epsilon=1.75,alpha=0.01)",10,Huber,1.75,0.01,8,15.553818064401735,12.595716411697804,0.7075075880320949,2.0285878969140057,1,9,3.570714214271425,2,False
RegionB,AITraining,SeasonalNaive24,0,SeasonalNaive24,,,8,68.61021756444364,43.11458333333333,1.4800899067149766,14.80120082154512,4,11,2.222048604328897,0,False
RegionB,AITraining,SeasonalNaive168,1,SeasonalNaive168,,,8,74.015314916258,48.0625,1.714894202729508,13.380794365326542,4,11,2.222048604328897,0,False
RegionB,AITraining,"Huber(epsilon=1.10,alpha=0.0001)",2,Huber,1.1,0.0001,8,57.7615827294928,29.36982388286352,1.0000009274936583,11.76596343586451,6,9,1.224744871391589,0,False
RegionB,AITraining,"Huber(epsilon=1.10,alpha=0.001)",3,Huber,1.1,0.001,8,57.76158266781516,29.36982396125019,1.0000009290104819,11.765963546851847,5,10,1.6393596310755,0,False
RegionB,AITraining,"Huber(epsilon=1.10,alpha=0.01)",4,Huber,1.1,0.01,8,57.761582874188406,29.36982399483813,1.0000009318239822,11.765963327793623,4,9,1.4947825928876748,0,False
RegionB,AITraining,"Huber(epsilon=1.35,alpha=0.0001)",5,Huber,1.35,0.0001,8,57.761633285711795,29.369812497948516,1.0000006868925875,11.766019515639531,5,9,1.3919410907075054,0,False
RegionB,AITraining,"Huber(epsilon=1.35,alpha=0.001)",6,Huber,1.35,0.001,8,57.761635553673,29.369811444223814,1.0000006517647184,11.76602090887804,4,10,1.8666480653835098,0,False
RegionB,AITraining,"Huber(epsilon=1.35,alpha=0.01)",7,Huber,1.35,0.01,8,57.761630020154755,29.369816386262166,1.0000008367474122,11.766022988037648,4,9,2.0463381929681126,0,False
RegionB,AITraining,"Huber(epsilon=1.75,alpha=0.0001)",8,Huber,1.75,0.0001,8,51.84039712792318,34.750769501922974,1.2129092422453827,11.07427384667141,1,3,0.8569568250501305,5,False
RegionB,AITraining,"Huber(epsilon=1.75,alpha=0.001)",9,Huber,1.75,0.001,8,51.84048492898152,34.75080122106917,1.2129096442078569,11.07435064484782,2,3,0.4330127018922193,0,False
