policy,state_count,cost_CNY,carbon_tCO2,renewable_utilization,peak_net_grid_purchase_MW,peak_MW,net_grid_ramp_MW,ramp_MW,grid_purchase_ramp_MW,grid_sell_ramp_MW,charge_MWh,discharge_MWh,renewable_charge_MWh,grid_charge_MWh,renewable_sell_MWh,storage_sell_MWh,internal_throughput_MWh,EFC,equivalent_full_cycles_sum,max_energy_balance_abs_residual_MW,max_source_decomposition_abs_residual_MW,trajectory_sha256,duplicate_of,nondominated,normalized_cost,normalized_carbon,normalized_renewable_loss,normalized_peak,normalized_ramp,ideal_distance,decision_eligible
no_action,21,-439303696.1843225,0.42753997166727425,0.6866683391770335,1.5263833333355024,1.5263833333355024,58043.98030887336,58043.98030887336,3.0527666666710047,58040.92754220669,0.0,0.0,0.0,0.0,1405896.3337129802,0.0,0.0,0.0,0.0,0.0,0.0,0eb7ec64a03c49e4ef2ab67c2baaf8f53bad63f46c312d5d4b1f6eb2fd70cbeb,,False,,,,,,,False
cost_min,21,-454197130.4929471,0.0,0.6931197300192158,0.0,0.0,22178.700101786926,22178.700101786926,0.0,22178.700101786926,74559.78723404255,65180.166,74559.78723404255,0.0,1405855.0676968107,65178.63961666667,140172.4,92.22710027100271,92.22710027100271,5.684341886080802e-14,1.4210854715202004e-14,488c896228c5d77cc3c17703e151855ee2a470a01bee4c5bd90e32151271aceb,,True,0.0,0.0,0.017898519536118252,0.0,1.0,0.38736036651965017,True
carbon_min,21,-439465830.91043836,0.0,0.686743145181904,0.0,0.0,57727.27957155094,57727.27957155094,0.0,57727.27957155094,998.6702127659574,873.0374999999999,998.6702127659574,0.0,1405761.7303344095,871.5111166666645,1877.5,1.2180216802168022,1.2180216802168022,5.684341886080802e-14,1.4210854715202004e-14,2ba97d4c513a0f105b5808cbac5572d1c4bc54ca6e2a4c1543c8d2f4b3851b16,,False,,,,,,,False
renewable_max,21,-454157645.2807636,0.0,0.6931311766649338,0.0,0.0,22331.912154896272,22331.912154896272,0.0,22331.912154896272,74738.6170212766,65336.499,74738.6170212766,0.0,1405808.455462765,65334.972616666666,140508.6,92.4510840108401,92.4510840108401,5.684341886080802e-14,1.4210854715202004e-14,136dab2ec9bf8b845d3fd0feb6fbd442df58ac0ac09f190e4a922bbd104838d8,,False,,,,,,,False
peak_min,21,-439465830.91043836,0.0,0.686743145181904,0.0,0.0,57727.27957155094,57727.27957155094,0.0,57727.27957155094,998.6702127659574,873.0374999999999,998.6702127659574,0.0,1405761.7303344095,871.5111166666645,1877.5,1.2180216802168022,1.2180216802168022,5.684341886080802e-14,1.4210854715202004e-14,2ba97d4c513a0f105b5808cbac5572d1c4bc54ca6e2a4c1543c8d2f4b3851b16,carbon_min,False,,,,,,,False
ramp_min,21,-452550016.25883627,0.0,0.6924916463565772,0.0,0.0,17586.845742277317,17586.845742277317,0.0,17586.845742277317,68787.76595744681,60134.265,68787.76595744681,0.0,1404372.2400755675,60132.73861666667,129321.0,85.04485094850949,85.04485094850949,5.684341886080802e-14,1.4210854715202004e-14,834c618557edf9a8d3189a9e2712f014f33e439bca888fffb792e89ee9d176fa,,True,1.0,0.0,1.0,0.0,0.0,0.6708203932499369,True
balanced,21,-454174024.61707526,0.0,0.6931311766649338,0.0,0.0,22150.241246509893,22150.241246509893,0.0,22150.241246509893,74699.36170212766,65302.182,74699.36170212766,0.0,1405847.7107819137,65300.65561666667,140434.8,92.40108401084011,92.40108401084011,5.684341886080802e-14,1.4210854715202004e-14,7da4b3976663d40cdcacd923f71e28191017df58c1f9a1f26df7468da17c34e8,,True,0.014028095558478657,0.0,0.0,0.0,0.9938023175281909,0.38497466564458477,True
