budget_per_scheme,scheme,checked_candidates,unique_tasks_visited,task_coverage_rate,accepted_improvements,cost_CNY,carbon_tCO2,renewable_utilization,network_latency_ms,service_quality,high_vs_low_cost_relative_change
5000,cost_min,5000,813,0.01626,277,-419978710.35369426,14.391601534493985,0.6791835364886444,5.229981972380099,0.43437844787893004,0.000767236239874436
5000,carbon_min,5000,743,0.01486,0,-419658147.7075976,14.391601534493985,0.6790780794609942,5.159384110987204,1.0,0.0
5000,renewable_max,5000,746,0.01492,793,-420275330.6519708,14.391601534493985,0.6793317364677072,5.6407129846873705,0.6212646463140369,0.0014186432432804407
5000,service_first,5000,827,0.01654,0,-419658147.7075976,14.391601534493985,0.6790780794609942,5.159384110987204,1.0,3.0590577132882075e-06
5000,balanced,5000,895,0.0179,783,-420608557.8399301,8.75688585449398,0.6794659824435382,5.760132256034686,0.983264832549999,0.001826701699738834
10000,cost_min,10000,1615,0.0323,515,-420301180.65115184,13.800139054493947,0.6792898743095422,5.287951991878935,0.3419504855696895,0.000767236239874436
10000,carbon_min,10000,1543,0.03086,0,-419658147.7075976,14.391601534493985,0.6790780794609942,5.159384110987204,1.0,0.0
10000,renewable_max,10000,1519,0.03038,1608,-420872398.4362957,14.941874041109914,0.6795847654531778,6.112339620459013,0.47420333839150225,0.0014186432432804407
10000,service_first,10000,1651,0.03302,3,-419656863.953031,14.391601534493985,0.6790780913413005,5.158508438114971,0.9999400035997841,3.0590577132882075e-06
10000,balanced,10000,1808,0.03616,1503,-421378290.27901584,8.75688585449398,0.6797598759997238,6.201629068093012,0.9636325091063271,0.001826701699738834
