Region,TaskType,SelectedModel,HuberEpsilon,HuberAlpha,ValidationMAE,ValidationRMSE,ValidationWAPE,ValidationSampleCount,ValidationWAPEZeroDenominator,MAE,RMSE,WAPE,TestSampleCount,TestWAPEZeroDenominator,ClosedLoopForecast,TrainEndHour,ValidationStartHour,ValidationEndHour,TestStartHour,TestEndHour
RegionA,RealTimeInference,Huber,1.1,0.0001,4.676816668668693,5.603956771368343,0.6235755558224925,24,False,5.269810737210548,6.067995061721704,0.6080550850627555,24,False,True,2351,2352,2375,2376,2399
RegionA,BatchInference,Huber,1.1,0.0001,11.374788130624419,15.217312246958299,0.7165220869684673,24,False,14.987837992794033,21.22317271290197,0.7011854031716506,24,False,True,2351,2352,2375,2376,2399
RegionA,AITraining,Huber,1.75,0.01,28.19424834873767,39.33241611297196,1.4678133630579264,24,False,33.037819122458394,49.0637873194297,1.3694432796873945,24,False,True,2351,2352,2375,2376,2399
RegionB,RealTimeInference,Huber,1.75,0.0001,5.710608485164908,7.655541175761111,0.585703434375888,24,False,3.8309662259855184,4.908999733775268,0.4839115232823813,24,False,True,2351,2352,2375,2376,2399
RegionB,BatchInference,Huber,1.1,0.01,15.035393697260977,19.642186515392158,0.9496038124585879,24,False,14.272120704544383,19.988424973592846,0.649963751250598,24,False,True,2351,2352,2375,2376,2399
RegionB,AITraining,Huber,1.75,0.0001,39.87295283888742,63.1837720915047,1.1075820233024285,24,False,33.7291143082536,45.50262263167828,1.1211893952882084,24,False,True,2351,2352,2375,2376,2399
RegionC,RealTimeInference,SeasonalNaive168,,,4.875,6.214901447328026,0.5969387755102041,24,False,6.416666666666667,8.225975119502044,0.9871794871794872,24,False,True,2351,2352,2375,2376,2399
RegionC,BatchInference,Huber,1.35,0.01,9.51847770914126,11.057931377415384,0.8307035091614191,24,False,9.872585650389778,11.604206217064322,0.7668027689623128,24,False,True,2351,2352,2375,2376,2399
RegionC,AITraining,Huber,1.75,0.01,25.579956581880584,43.61476217398453,1.3404344060374105,24,False,22.09393303311266,31.799494067259385,1.2505999830063768,24,False,True,2351,2352,2375,2376,2399
RegionD,RealTimeInference,Huber,1.75,0.0001,0.5833334471132545,2.483277369673126,1.0000001950512936,24,False,1.2500000041239623,2.7233557685106926,1.0000000032991698,24,False,True,2351,2352,2375,2376,2399
RegionD,BatchInference,Huber,1.75,0.0001,12.646996284164745,17.950771855171098,0.599857531264731,24,False,14.519923061174177,18.577645157298328,0.6489351088792928,24,False,True,2351,2352,2375,2376,2399
RegionD,AITraining,Huber,1.1,0.01,64.87872869443237,76.68235726175554,0.45568905140953375,24,False,81.46683093418052,101.27297176166307,0.5392178550524911,24,False,True,2351,2352,2375,2376,2399
RegionE,RealTimeInference,Huber,1.75,0.0001,0.8750002626128556,2.071633576128802,1.000000300128978,24,False,1.2916667997162092,2.4748735650812304,1.0000001030060974,24,False,True,2351,2352,2375,2376,2399
RegionE,BatchInference,Huber,1.75,0.0001,10.436198310254756,12.968433891397481,0.9107954888949605,24,False,13.799204263987507,19.230257734407882,0.716841779947403,24,False,True,2351,2352,2375,2376,2399
RegionE,AITraining,Huber,1.1,0.001,88.42078961766492,103.77107634365741,0.7819082353809721,24,False,98.90517619779264,139.30706970550426,0.5666565358670383,24,False,True,2351,2352,2375,2376,2399
RegionF,RealTimeInference,Huber,1.75,0.01,0.9583333722460704,2.5083194595689777,1.0000000406045952,24,False,0.6250000099191136,1.6457014617621712,1.000000015870582,24,False,True,2351,2352,2375,2376,2399
RegionF,BatchInference,Huber,1.35,0.01,8.538201838076667,11.590685798228343,0.8467638186522314,24,False,8.939309648968274,11.05758085369443,0.9129507726605897,24,False,True,2351,2352,2375,2376,2399
RegionF,AITraining,Huber,1.75,0.001,76.20210685926429,107.82144354330273,0.5235758845182774,24,False,96.29712904944961,126.4523248702022,0.49214887078083275,24,False,True,2351,2352,2375,2376,2399
