Scenario,Cost_CNY,Carbon_tCO2,CarbonLimit_tCO2,NetworkLatency_ms,ServiceQualityProxy,RenewableUtilization,PeakSum_MW,scenario_status,GlobalOptimality,ParetoCertified,Credibility
baseline,-421426260.17689997,0.2384812499999515,0.2384812499999515,5.261793096373322,0.9994443144071554,0.6797312488530742,1.0062499999997954,completed,not_certified,False,scenario-feasible
price0.8,-421426234.7432611,0.2384812499999515,0.2384812499999515,5.261793096373322,0.9994443144071554,0.6797312488530742,1.0062499999997954,completed,not_certified,False,scenario-feasible
renewable0.8,-306875506.376767,31068.115994242013,0.2384812499999515,5.261793096373322,0.9994443144071554,0.8064905989103837,1298.739603838652,completed,not_certified,False,scenario-feasible
price1.2,-421426285.6105389,0.2384812499999515,0.2384812499999515,5.261793096373322,0.9994443144071554,0.6797312488530742,1.0062499999997954,completed,not_certified,False,scenario-feasible
renewable1.2,-457331184.93425405,0.0,0.2384812499999515,5.261793096373322,0.9994443144071554,0.5771587456145121,0.0,completed,not_certified,False,scenario-feasible
