Region,TaskType,MAE,RMSE,WAPE
RegionA,RealTimeInference,5.378100658752167,6.114259636068539,0.6205500760098654
RegionA,BatchInference,14.980159982149402,21.208611702633565,0.7008261979952937
RegionA,AITraining,24.12502175277156,53.883723485747446,1.0000009016692875
RegionB,RealTimeInference,3.8527456926819093,4.968230922574958,0.48666261381245174
RegionB,BatchInference,14.244160263796118,19.81184787555088,0.648690410495459
RegionB,AITraining,30.083369512934315,52.87242368001532,1.000001202646016
RegionC,RealTimeInference,4.318504209594206,5.715770126917179,0.6643852630144932
RegionC,BatchInference,9.947415358629378,11.685555632130198,0.7726147851362624
RegionC,AITraining,17.666782981346973,36.36146039543678,1.0000065838498287
RegionD,RealTimeInference,1.2500000008374268,2.7233557730613653,1.0000000006699414
RegionD,BatchInference,14.724891471244712,18.956543247711554,0.6580957082120542
RegionD,AITraining,84.12073267157213,102.94929165427199,0.5567836690892805
RegionE,RealTimeInference,1.2916666775602532,2.474873724509389,1.0000000084337444
RegionE,BatchInference,14.137433182252153,19.62783477805871,0.7344121133637482
RegionE,AITraining,97.75409004341867,137.50252987337905,0.5600616283222841
RegionF,RealTimeInference,0.6250000035660047,1.645701460263253,1.0000000057056075
RegionF,BatchInference,8.950020542282873,11.15591381963141,0.9140446511267616
RegionF,AITraining,102.07003437336932,132.842927940194,0.5216526458604906
